Date of year,clients,previously_shoped,member,promotion,shop_competitor,prize_won,require_financing,got_a_TV,did_a purchase,promotions_used,LT_clients,prize_amount,amount_financing,amount_purchase,nb_electronics
2018-06-30,29,0,0,0,1,0,0,0,1,1,11,0,0,3980,1
2018-06-30,30,0,0,1,0,0,1,0,1,2,13,139.6527778,18916.66667,110,0
2018-06-30,31,0,1,0,0,0,0,0,0,4,21,0,0,,0
2017-12-31,32,0,0,0,0,1,0,0,1,2,12,0,0,2300,0
2018-08-31,33,0,0,1,0,0,0,0,1,1,3,121.1111111,0,1240,1
2017-12-31,34,0,1,1,1,1,1,0,1,3,10,145.7638889,17666.66667,3730,0
2018-01-31,35,0,0,1,0,1,1,1,1,3,13,90.76388889,13208.33333,840,0
2018-07-31,36,0,0,1,1,0,0,0,1,1,4,107.6388889,0,2740,1
2018-01-31,37,0,1,1,1,0,0,0,1,1,5,59.79166667,0,630,1
2018-07-31,38,1,0,0,1,0,0,1,1,4,7,0,0,1440,0
2017-11-30,39,0,0,1,0,0,0,0,1,1,14,154.4444444,0,1370,1
2018-09-30,40,1,0,1,1,1,0,0,1,2,21,163.5416667,0,1800,0
2018-03-31,41,0,0,0,1,0,0,0,1,5,12,0,0,2620,0
2018-03-31,42,0,0,1,1,1,0,0,1,2,3,117.7083333,0,2060,0
2018-08-31,43,0,0,0,0,0,0,0,1,1,8,0,0,1610,1
2017-11-30,44,0,1,1,0,0,1,0,1,2,14,181.8055556,25458.33333,2050,0
2018-02-28,45,0,1,1,1,0,1,0,1,3,5,152.0138889,20458.33333,2120,0
2018-05-31,46,1,1,0,1,0,0,0,1,1,13,0,0,2300,1
2018-09-30,47,0,1,0,0,1,0,0,1,2,10,0,0,1040,0
2018-02-28,48,0,0,0,1,0,0,0,1,1,9,0,0,2980,1
2018-07-31,49,0,1,0,0,1,0,0,1,2,10,0,0,1040,0
2018-06-30,50,0,0,0,1,1,1,0,1,3,9,0,11708.33333,1670,0
2017-12-31,51,0,0,0,0,1,0,0,1,2,12,0,0,2420,0
2018-04-30,52,0,0,0,1,1,0,0,1,4,8,0,0,2880,0
2018-09-30,53,0,0,0,1,0,1,0,1,2,17,0,29208.33333,1440,0
2017-10-31,54,0,0,0,0,0,0,0,1,1,16,0,0,2650,1
2018-03-31,55,1,0,1,1,0,0,0,1,1,6,146.3888889,0,2120,1
2018-02-28,56,0,0,0,0,0,1,0,1,2,4,0,29250,100,0
2018-05-31,57,1,0,0,0,0,0,0,1,1,15,0,0,1710,1
2018-05-31,58,0,0,0,0,1,0,0,1,2,17,0,0,2090,0
2017-12-31,59,0,0,1,0,0,0,0,1,1,17,106.3194444,0,1530,1
2018-06-30,60,0,0,0,1,1,0,0,1,2,12,0,0,2260,0
2018-10-31,61,0,0,0,0,0,0,0,1,1,4,0,0,2760,1
2017-10-31,62,0,0,1,1,0,0,0,1,1,11,191.0416667,0,820,1
2017-12-31,63,0,0,1,1,1,0,0,1,2,14,106.9444444,0,1160,0
2018-04-30,64,0,0,1,0,0,0,0,1,1,20,908.8194444,0,1850,1
2018-04-30,65,0,0,0,0,0,0,0,1,1,10,0,0,4550,1
2018-02-28,66,0,0,0,0,0,0,0,1,1,5,0,0,1640,1
2018-10-31,67,0,1,1,1,0,0,0,1,2,13,148.6805556,0,730,0
2018-09-30,68,1,0,0,1,0,0,1,1,1,10,0,0,2240,1
2018-06-30,69,0,0,0,0,0,1,0,1,2,4,0,23416.66667,2470,0
2017-10-31,70,1,0,1,0,0,0,0,1,3,6,147.9166667,0,1270,0
2017-10-31,71,0,0,1,0,1,0,0,1,2,4,146.875,0,3650,0
2017-12-31,72,0,0,1,0,1,0,0,1,2,10,165.8333333,0,1200,0
2018-02-28,73,0,1,1,1,0,1,0,1,2,17,139.375,33500,1710,0
2018-09-30,74,0,0,0,0,1,0,0,1,2,6,0,0,1780,0
2018-05-31,75,0,0,0,0,0,1,0,1,2,11,0,25791.66667,2690,0
2018-03-31,76,0,0,0,0,0,0,0,1,1,9,0,0,2230,1
2018-10-31,77,0,1,0,0,1,1,1,1,3,8,0,16958.33333,3260,0
2017-11-30,78,0,0,1,1,1,1,0,1,3,16,189.7222222,22625,1600,0
2018-04-30,79,0,1,1,1,0,0,0,1,1,9,132.2916667,0,1520,1
2018-10-31,80,0,0,0,0,1,0,0,1,4,4,0,0,1130,0
2017-11-30,81,0,0,0,0,1,0,0,1,2,5,0,0,2560,0
2017-12-31,82,0,0,0,1,0,1,0,1,2,8,0,24875,1140,0
2018-04-30,83,1,0,0,1,0,0,0,1,1,12,0,0,1640,1
2018-09-30,84,1,0,1,1,1,0,0,1,2,6,146.3888889,0,950,0
2018-01-31,85,0,0,1,0,0,0,0,1,1,5,80.69444444,0,3580,1
2018-02-28,86,0,0,0,0,0,0,0,1,4,11,0,0,1990,0
2018-08-31,87,0,0,0,0,0,1,0,1,3,8,0,17625,880,0
2018-09-30,88,0,0,0,0,1,0,0,1,2,9,0,0,2570,0
2018-05-31,89,0,0,0,0,1,0,0,1,4,17,0,0,2130,0
2018-08-31,90,0,0,1,0,0,1,1,1,2,11,105.1388889,17833.33333,1090,0
2017-12-31,91,0,0,0,0,0,0,0,1,1,5,0,0,990,1
2018-04-30,92,1,0,0,0,1,1,0,1,3,12,0,13291.66667,1510,0
2018-06-30,93,1,1,0,0,1,0,0,1,4,12,0,0,1860,0
2017-10-31,94,0,1,0,0,0,0,0,1,1,12,0,0,2340,1
2017-10-31,95,0,0,1,0,0,1,0,1,2,12,173.3333333,17791.66667,4280,0
2018-03-31,96,0,1,0,0,1,1,0,1,3,11,0,17291.66667,640,0
2018-08-31,97,0,0,0,0,0,0,0,1,1,14,0,0,1410,1
2018-05-31,98,0,1,0,1,1,1,0,1,3,6,0,15041.66667,1200,0
2017-11-30,99,0,0,1,0,1,0,0,1,2,12,147.7083333,0,4560,0
2018-08-31,100,0,1,0,0,0,0,0,1,1,4,0,0,2720,1
2018-05-31,101,0,1,1,0,1,1,0,1,3,14,131.3888889,18291.66667,1900,0
2018-06-30,102,0,0,0,0,0,0,0,1,1,15,0,0,2870,1
2018-08-31,103,0,0,0,0,0,0,0,1,4,8,0,0,3130,0
2018-05-31,104,0,0,0,1,0,1,0,1,2,9,0,30708.33333,1260,0
2018-09-30,105,1,1,1,1,0,0,0,1,2,10,170.5555556,0,2880,0
2017-10-31,106,0,0,0,0,0,0,0,1,1,7,0,0,2050,1
2018-04-30,107,0,1,0,0,0,0,0,1,1,6,0,0,2390,1
2017-12-31,108,0,0,1,1,1,0,0,1,2,8,177.2222222,0,900,0
2018-02-28,109,0,1,1,0,0,0,0,1,2,10,177.1527778,0,210,0
2018-02-28,110,0,1,0,1,0,1,0,1,2,12,0,21833.33333,2850,0
2018-05-31,111,0,1,1,0,0,0,0,1,1,10,80.83333333,0,2230,1
2018-07-31,112,0,1,1,0,1,1,0,1,3,7,202.4305556,16291.66667,1040,0
2017-12-31,113,0,1,0,1,1,1,0,1,3,13,0,12166.66667,1950,0
2017-11-30,114,0,1,0,0,1,0,0,1,2,6,0,0,3250,0
2018-09-30,115,0,0,0,1,0,0,0,1,1,3,0,0,1810,1
2018-06-30,116,0,0,1,1,1,0,0,1,2,16,163.4027778,0,3120,0
2018-01-31,117,0,0,1,0,1,0,0,0,1,9,115.8333333,0,,1
2018-03-31,118,0,0,0,0,0,0,0,1,3,13,0,0,2730,0
2018-03-31,119,0,0,0,1,0,0,0,1,1,14,0,0,1650,1
2018-06-30,120,1,1,1,1,0,0,0,1,3,13,143.8888889,0,2090,0
2018-10-31,121,0,0,1,0,0,0,0,1,1,4,92.91666667,0,2920,1
2018-02-28,122,0,0,1,1,0,0,0,1,1,17,179.6527778,0,2890,1
2017-11-30,123,0,0,0,0,0,0,0,1,1,11,0,0,440,1
2018-07-31,124,0,0,1,1,1,0,1,1,2,14,149.3055556,0,3220,0
2018-02-28,125,0,0,1,0,1,0,0,1,2,13,149.9305556,0,2210,0
2018-02-28,126,0,0,0,0,0,0,0,1,3,12,0,0,1120,0
2018-06-30,127,0,0,1,1,0,1,0,1,2,15,143.4027778,28000,2830,0
2018-02-28,128,0,1,0,1,1,0,0,1,2,3,0,0,4160,0
2018-03-31,129,0,0,0,1,0,0,0,1,1,4,0,0,1630,1
2018-07-31,130,0,1,1,0,0,0,0,1,1,13,161.3194444,0,1850,1
2018-04-30,131,0,0,0,0,1,0,0,1,2,13,0,0,1500,0
2018-02-28,132,0,0,0,1,0,1,0,1,2,10,0,31416.66667,370,0
2018-10-31,133,0,0,0,1,1,0,0,0,3,4,0,0,,0
2018-09-30,134,0,1,0,1,1,0,1,1,2,14,0,0,1330,0
2017-12-31,135,0,0,0,0,0,0,0,1,1,14,0,0,1500,1
2018-06-30,136,0,0,0,1,1,0,0,1,2,6,0,0,2350,0
2018-09-30,137,0,1,0,1,0,0,0,1,1,17,0,0,1370,1
2018-01-31,138,0,0,0,0,0,0,0,1,1,17,0,0,1050,1
2018-09-30,139,0,0,0,0,1,0,0,1,2,13,0,0,2800,0
2018-01-31,140,1,1,0,0,0,0,0,1,1,14,0,0,3780,1
2018-01-31,141,0,1,1,0,0,0,0,1,1,14,144.2361111,0,1730,1
2018-09-30,142,0,0,1,0,0,1,0,1,2,1,115.1388889,7416.666667,2670,0
2018-03-31,143,1,0,1,1,0,0,0,1,3,5,120.2083333,0,2900,0
2018-05-31,144,0,0,0,0,1,1,1,1,3,7,0,13791.66667,3790,0
2018-07-31,145,1,1,1,0,1,0,0,1,2,16,157.7083333,0,570,0
2018-04-30,146,0,0,0,0,0,1,0,1,2,18,0,19750,1870,0
2018-02-28,147,0,0,0,0,0,1,0,1,2,9,0,21166.66667,770,0
2018-09-30,148,0,0,1,1,0,1,0,1,2,3,128.5416667,19500,3270,0
2017-11-30,149,0,0,0,0,1,0,0,1,2,6,0,0,3140,0
2018-02-28,150,0,0,1,1,0,0,0,1,1,16,171.0416667,0,5000,1
2018-07-31,151,0,0,0,1,0,0,0,1,1,13,0,0,2950,1
2018-03-31,152,0,0,1,1,0,1,1,1,2,21,149.3055556,34750,3440,0
2018-08-31,153,0,1,1,1,0,0,0,1,1,4,177.7777778,0,2360,1
2018-08-31,154,0,0,1,0,0,0,0,1,1,17,93.61111111,0,2530,1
2018-05-31,155,0,0,0,0,0,0,0,1,1,4,0,0,1830,1
2018-05-31,156,0,0,0,0,0,0,0,1,1,9,0,0,1580,1
2018-04-30,157,0,0,0,0,1,0,0,1,2,5,0,0,1740,0
2018-08-31,158,0,0,0,0,0,0,0,1,2,1,0,0,3380,0
2018-02-28,159,0,1,1,1,0,0,0,1,1,15,160.8333333,0,1920,1
2018-04-30,160,0,0,0,1,1,0,0,1,2,12,0,0,3110,0
2018-05-31,161,0,1,0,1,1,0,0,1,2,11,0,0,2330,0
2018-09-30,162,0,0,1,1,0,1,0,1,2,10,92.5,23500,2000,0
2018-03-31,163,0,1,1,0,0,0,0,1,1,18,119.7222222,0,100,1
2018-06-30,164,0,0,1,0,0,0,0,1,1,4,80.625,0,2210,1
2018-10-31,165,0,1,1,0,1,0,0,1,4,9,124.5833333,0,3580,0
2018-02-28,166,0,0,0,1,0,0,0,1,1,1,0,0,2130,1
2018-02-28,167,1,0,1,0,0,0,0,1,1,5,132.6388889,0,1360,1
2018-04-30,168,0,0,0,1,0,0,0,1,1,11,0,0,100,1
2018-09-30,169,0,1,1,0,1,1,0,1,3,11,117.5,18125,2650,0
2018-09-30,170,0,0,1,0,0,0,0,1,1,10,120.3472222,0,1560,1
2018-10-31,171,1,0,0,0,0,0,0,1,1,12,0,0,1150,1
2017-11-30,172,0,0,0,0,0,1,1,1,2,9,0,22833.33333,2510,0
2017-12-31,173,0,0,1,0,1,1,0,1,3,7,178.5416667,21208.33333,1670,0
2017-10-31,174,1,0,0,1,0,1,1,1,2,16,0,25333.33333,1190,0
2018-03-31,175,0,0,0,1,0,0,0,1,3,14,0,0,1740,0
2018-08-31,176,0,0,0,0,0,0,0,1,3,4,0,0,1660,0
2017-11-30,177,1,0,1,1,1,1,0,1,3,11,200.5555556,30250,2070,0
2018-05-31,178,0,0,0,0,1,1,0,0,3,4,0,22333.33333,,0
2018-01-31,179,0,0,0,0,0,1,0,1,2,6,0,32500,2120,0
2017-12-31,180,0,0,0,0,1,0,0,0,1,12,0,0,,1
2018-10-31,181,1,1,1,1,1,1,1,1,3,7,118.125,29208.33333,2590,0
2018-02-28,182,0,0,1,0,1,1,0,1,3,8,158.5416667,9708.333333,1630,0
2017-10-31,183,0,1,0,1,0,0,0,1,1,0,0,0,2590,1
2018-01-31,184,1,1,0,0,0,0,0,1,1,12,0,0,3190,1
2018-08-31,185,0,1,1,1,1,0,0,1,2,7,103.1944444,0,2030,0
2018-06-30,186,0,0,0,0,0,1,0,1,2,13,0,21000,2180,0
2018-05-31,187,0,0,1,0,0,0,0,1,1,3,136.8055556,0,1900,1
2018-09-30,188,0,1,0,1,1,1,0,1,3,11,0,27416.66667,590,0
2017-10-31,189,0,0,0,0,1,0,1,1,2,13,0,0,2010,0
2018-01-31,190,0,0,1,1,0,1,0,1,2,7,143.5416667,25333.33333,690,0
2018-06-30,191,0,0,1,1,0,0,1,1,2,12,104.7916667,0,3980,0
2018-01-31,192,0,0,0,1,1,0,0,1,4,4,0,0,4210,0
2018-06-30,193,0,0,1,0,0,0,1,1,1,14,92.70833333,0,100,1
2018-07-31,194,0,0,0,1,0,0,0,1,1,11,0,0,1950,1
2018-07-31,195,0,0,0,1,0,0,1,1,1,6,0,0,1390,1
2017-12-31,196,0,0,1,0,0,0,0,1,1,9,130.0694444,0,2200,1
2018-10-31,197,0,0,0,0,0,0,0,0,1,4,0,0,,1
2018-08-31,198,0,0,0,0,1,0,0,1,2,15,0,0,1960,0
2017-12-31,199,0,0,1,0,0,0,0,1,1,7,112.4305556,0,100,1
2018-09-30,200,0,0,0,0,1,0,0,1,2,16,0,0,2110,0
2017-12-31,201,0,0,0,0,1,0,0,1,4,9,0,0,1350,0
2018-05-31,202,0,1,1,0,0,0,0,1,1,14,165.625,0,1690,1
2017-11-30,203,0,0,1,0,0,0,0,1,1,4,106.5972222,0,2280,1
2018-10-31,204,0,0,1,1,0,0,0,1,2,0,118.125,0,3460,0
2018-06-30,205,0,1,1,0,0,0,0,1,1,5,156.5277778,0,2220,1
2017-11-30,206,1,0,0,0,1,1,0,1,3,13,0,34375,2270,0
2018-06-30,207,0,0,1,1,0,0,0,1,1,14,132.2916667,0,1180,1
2017-12-31,208,0,0,0,0,0,0,0,1,1,15,0,0,2740,1
2017-10-31,209,0,1,0,0,0,0,1,1,1,6,0,0,2600,1
2017-12-31,210,0,1,1,0,1,0,0,1,2,12,153.5416667,0,4330,0
2017-10-31,211,0,0,1,0,0,0,0,1,1,10,121.1111111,0,2410,1
2018-04-30,212,0,0,0,0,1,0,0,1,2,16,0,0,3520,0
2018-08-31,213,0,1,0,0,1,0,0,1,2,0,0,0,1650,0
2017-11-30,214,0,0,1,0,1,1,0,1,3,4,124.7222222,21041.66667,510,0
2018-06-30,215,0,1,0,1,0,1,0,1,2,14,0,17458.33333,1480,0
2018-02-28,216,0,0,0,0,1,0,0,1,2,9,0,0,2730,0
2018-06-30,217,0,1,1,0,0,0,0,1,1,11,116.3888889,0,1010,1
2017-12-31,218,0,0,0,1,0,0,0,1,1,17,0,0,1660,1
2018-05-31,219,0,0,0,1,1,0,0,0,1,12,0,0,,1
2017-12-31,220,0,0,0,0,0,0,0,1,3,11,0,0,590,0
2017-11-30,221,0,0,0,0,0,0,0,1,1,4,0,0,1520,1
2018-01-31,222,0,0,1,1,1,0,0,1,2,0,116.1805556,0,560,0
2018-09-30,223,0,0,1,0,1,0,0,1,2,12,160.2083333,0,3850,0
2018-08-31,224,0,1,0,0,1,0,0,1,2,0,0,0,2220,0
2018-08-31,225,1,0,1,0,0,1,0,1,2,18,83.75,27208.33333,640,0
2017-10-31,226,0,1,1,0,0,0,0,1,1,4,139.3055556,0,2770,1
2018-08-31,227,1,0,1,0,1,0,0,1,2,14,156.3888889,0,3600,0
2018-05-31,228,0,1,0,0,0,0,0,1,1,11,0,0,1210,1
2018-01-31,229,1,0,0,1,0,0,0,1,1,9,0,0,1410,1
2018-09-30,230,0,1,1,0,0,0,0,1,1,14,114.2361111,0,3260,1
2018-02-28,231,0,0,1,0,1,0,0,1,2,12,164.6527778,0,2630,0
2017-12-31,232,0,0,1,0,0,0,0,1,1,3,138.9583333,0,2730,1
2017-12-31,233,1,0,0,0,1,0,0,1,2,9,0,0,1600,0
2018-02-28,234,0,0,1,1,0,0,0,1,1,14,128.8194444,0,1730,1
2018-06-30,235,0,0,1,0,0,0,0,1,1,15,128.4722222,0,3000,1
2018-03-31,236,0,1,0,1,0,1,0,1,2,7,0,15791.66667,1630,0
2018-07-31,237,1,0,0,1,0,1,1,1,2,11,0,11625,2590,0
2018-10-31,238,0,1,0,0,0,0,1,1,1,15,0,0,660,1
2017-10-31,239,0,0,1,0,1,0,0,1,2,10,166.9444444,0,2890,0
2018-07-31,240,0,1,1,0,1,1,0,1,3,13,128.4722222,20750,1400,0
2017-10-31,241,0,0,0,0,1,0,0,0,1,14,0,0,,1
2017-11-30,242,0,0,1,0,0,0,0,1,1,7,120.7638889,0,1070,1
2018-02-28,243,0,0,0,1,0,0,0,1,1,9,0,0,1680,1
2018-05-31,244,1,0,0,0,0,0,0,1,1,8,0,0,1630,1
2018-02-28,245,0,0,1,0,1,0,0,1,2,10,128.6805556,0,2300,0
2018-10-31,246,0,0,1,1,0,0,0,1,1,12,105.2083333,0,2880,1
2018-09-30,247,0,0,0,0,0,0,0,1,1,2,0,0,1060,1
2017-11-30,248,0,1,1,0,1,0,1,1,2,13,56.45833333,0,780,0
2018-10-31,249,0,0,1,1,1,0,0,1,2,4,154.2361111,0,2450,0
2018-10-31,250,0,0,1,0,0,1,0,1,2,4,111.25,17125,4600,0
2018-08-31,251,0,0,1,0,0,0,0,0,1,7,148.1944444,0,,1
2018-03-31,252,0,0,0,0,0,0,1,1,1,9,0,0,1690,1
2017-10-31,253,0,0,1,1,0,0,0,1,1,9,92.43055556,0,2550,1
2018-08-31,254,0,0,1,0,0,0,0,1,1,18,161.25,0,2420,1
2017-11-30,255,0,0,0,0,0,1,0,1,2,11,0,23750,740,0
2018-07-31,256,0,1,1,0,1,0,0,1,2,6,171.8055556,0,1930,0
2018-06-30,257,0,0,0,0,1,0,0,1,2,9,0,0,980,0
2018-06-30,258,0,0,0,1,0,0,0,1,1,19,0,0,2010,1
2017-11-30,259,0,0,0,0,1,0,0,1,2,11,0,0,2060,0
2018-07-31,260,0,0,0,0,1,1,0,0,2,19,0,23375,,0
2018-03-31,261,0,0,0,0,1,0,0,1,2,15,0,0,2170,0
2017-11-30,262,1,0,0,0,0,0,0,1,1,13,0,0,3220,1
2018-07-31,263,0,0,1,0,1,0,1,1,2,14,173.125,0,1130,0
2017-12-31,264,1,0,0,1,1,1,0,1,3,13,0,30083.33333,2270,0
2017-12-31,265,0,0,1,0,1,0,0,1,2,7,155.7638889,0,2490,0
2018-10-31,266,0,0,1,0,0,0,0,1,3,16,145.4861111,0,4320,0
2018-07-31,267,0,1,0,0,1,1,0,1,5,7,0,25875,2580,0
2018-03-31,268,0,0,0,1,0,0,0,1,3,11,0,0,3170,0
2018-04-30,269,0,0,1,0,0,0,0,1,1,2,116.9444444,0,2250,1
2018-08-31,270,0,0,0,0,0,0,0,0,1,7,0,0,,1
2018-05-31,271,0,0,0,1,0,1,0,1,3,15,0,11958.33333,2580,0
2018-04-30,272,0,1,0,0,1,0,0,1,2,20,0,0,3090,0
2017-11-30,273,0,1,1,1,1,0,0,1,2,12,152.5694444,0,2780,0
2018-04-30,274,0,1,1,1,0,1,0,1,3,9,148.8888889,24416.66667,1510,0
2017-10-31,275,0,1,0,0,0,1,0,1,2,8,0,20625,2260,0
2018-09-30,276,0,1,0,1,0,0,0,1,1,9,0,0,3200,1
2018-01-31,277,0,1,1,1,0,0,0,1,1,11,160.4861111,0,1500,1
2018-07-31,278,0,0,1,0,1,0,0,1,2,15,114.8611111,0,2010,0
2017-10-31,279,0,0,1,0,1,0,0,1,2,11,101.1111111,0,3330,0
2017-10-31,280,0,0,1,0,0,0,1,1,1,9,106.25,0,730,1
2017-10-31,281,0,0,0,0,1,0,0,1,2,14,0,0,310,0
2017-12-31,282,0,0,0,0,0,0,0,1,1,20,0,0,2050,1
2018-05-31,283,0,0,1,1,1,1,0,1,3,13,88.26388889,15500,1620,0
2018-03-31,284,0,0,1,1,0,0,0,1,1,13,160.6944444,0,1140,1
2018-05-31,285,0,0,0,1,0,0,1,1,1,0,0,0,1260,1
2017-12-31,286,0,0,1,1,0,0,0,0,1,18,129.0277778,0,,1
2018-09-30,287,0,0,0,0,1,0,1,1,2,14,0,0,1730,0
2018-07-31,288,0,0,0,1,1,0,0,1,4,6,0,0,1460,0
2018-04-30,289,0,0,0,0,0,0,0,1,1,8,0,0,810,1
2018-04-30,290,0,0,0,0,1,0,0,1,2,14,0,0,3400,0
2017-10-31,291,0,0,0,0,0,0,0,1,1,11,0,0,3070,1
2018-09-30,292,0,0,0,1,1,0,1,1,2,14,0,0,2800,0
2018-10-31,293,0,0,1,1,0,0,0,1,1,5,91.66666667,0,2150,1
2018-03-31,294,0,0,1,1,0,0,0,1,1,16,128.8194444,0,1160,1
2018-09-30,295,0,1,0,0,1,0,0,1,2,8,0,0,2500,0
2017-12-31,296,0,1,0,0,0,0,0,1,1,6,0,0,1230,1
2018-02-28,297,0,1,0,1,0,0,0,1,1,14,0,0,2370,1
2017-12-31,298,1,1,0,0,0,1,0,1,2,16,0,8250,4210,0
2018-07-31,299,0,0,1,0,0,0,0,1,1,16,156.7361111,0,1300,1
2018-09-30,300,1,0,0,0,1,1,0,1,3,9,0,13375,1150,0
2017-12-31,301,0,0,0,0,1,0,0,1,3,9,0,0,4030,0
2018-09-30,302,0,0,1,0,0,0,0,1,1,14,132.9861111,0,2000,1
2017-11-30,303,0,1,0,1,0,0,0,1,3,2,0,0,1990,0
2018-09-30,304,0,0,0,1,1,0,0,1,2,3,0,0,2830,0
2017-12-31,305,0,0,0,0,0,0,0,1,1,9,0,0,2370,1
2017-10-31,306,0,0,0,0,0,1,0,1,2,17,0,26666.66667,100,0
2018-02-28,307,0,0,0,0,0,1,0,1,2,9,0,18708.33333,1770,0
2018-05-31,308,0,1,0,0,1,0,0,1,2,12,0,0,780,0
2018-04-30,309,0,0,0,0,0,0,0,1,1,0,0,0,100,1
2017-12-31,310,0,1,0,1,0,0,0,1,4,6,0,0,1100,0
2018-08-31,311,0,1,1,0,1,0,0,1,2,6,132.2222222,0,3270,0
2018-04-30,312,0,0,1,1,0,1,0,1,2,7,172.2916667,26291.66667,1260,0
2017-10-31,313,1,0,1,1,0,0,0,0,1,9,157.7777778,0,,1
2018-06-30,314,0,1,0,0,0,0,0,1,1,9,0,0,2400,1
2017-11-30,315,0,1,1,0,1,0,0,1,2,19,148.75,0,2500,0
2018-04-30,316,0,0,0,1,0,0,0,1,1,9,0,0,1870,1
2018-05-31,317,0,0,0,0,0,0,0,1,1,14,0,0,2620,1
2017-12-31,318,0,0,0,0,1,0,0,1,2,12,0,0,2780,0
2018-09-30,319,0,0,0,0,0,1,1,1,2,11,0,24500,3410,0
2018-06-30,320,0,0,1,1,1,0,1,1,2,23,183.8888889,0,2340,0
2017-11-30,321,1,0,0,1,0,0,0,0,1,20,0,0,,1
2018-03-31,322,0,0,0,1,0,1,1,1,2,11,0,22041.66667,1000,0
2018-10-31,323,0,0,0,1,1,0,0,1,2,1,0,0,2640,0
2018-04-30,324,0,1,1,1,1,0,0,1,2,8,100.3472222,0,3240,0
2018-04-30,325,0,0,0,0,0,0,0,1,1,11,0,0,1270,1
2018-06-30,326,0,0,0,1,1,0,0,1,2,15,0,0,3400,0
2018-01-31,327,0,0,1,1,0,0,0,1,1,16,170.8333333,0,160,1
2017-11-30,328,0,0,0,0,1,0,1,1,2,7,0,0,3350,0
2018-07-31,329,0,0,0,1,0,1,1,1,2,12,0,15916.66667,2590,0
2017-12-31,330,0,0,1,0,0,0,0,1,1,9,173.1944444,0,1050,1
2018-03-31,331,1,1,1,0,0,0,1,1,1,6,109.6527778,0,1720,1
2018-03-31,332,0,0,1,0,0,0,0,1,1,18,130.2083333,0,1840,1
2018-09-30,333,0,0,1,1,0,0,0,1,1,10,153.0555556,0,3020,1
2018-08-31,334,0,1,0,0,0,1,0,1,2,9,0,21291.66667,1690,0
2018-08-31,335,0,0,0,0,0,0,0,1,1,0,0,0,2190,1
2018-08-31,336,0,1,0,1,1,1,0,1,3,0,0,19791.66667,3340,0
2018-03-31,337,0,0,0,1,0,1,0,1,2,13,0,25416.66667,1300,0
2018-06-30,338,0,0,0,1,1,0,0,1,2,4,0,0,2740,0
2018-06-30,339,0,0,0,1,1,0,0,1,3,9,0,0,3510,0
2018-03-31,340,0,0,1,0,0,0,0,1,1,9,141.5972222,0,1890,1
2018-01-31,341,0,0,0,1,1,0,0,1,2,3,0,0,3010,0
2018-07-31,342,0,1,0,1,0,0,0,1,1,13,0,0,2450,1
2018-02-28,343,1,0,1,0,1,0,0,0,3,13,153.9583333,0,,0
2018-04-30,344,0,0,1,0,1,1,1,1,3,11,146.875,10041.66667,2030,0
2018-04-30,345,0,0,1,0,0,0,0,1,1,15,118.125,0,2400,1
